,Rank,Player,Country,Goals,Caps,Ratio
0,1,Cristiano Ronaldo,Portugal,123,201,0.62
1,2,Ali Daei [a],Iran,108,148,0.73
2,3,Lionel Messi,Argentina,104,176,0.59
3,4,Sunil Chhetri,India,92,142,0.65
4,5,Mokhtar Dahari,Malaysia,89,142,0.63
5,6,Ferenc Puskás,Hungary,84,85,0.99
6,7,Ali Mabkhout,United Arab Emirates,81,109,0.74
7,7,Robert Lewandowski,Poland,81,144,0.56
8,9,Godfrey Chitalu,Zambia,79,111,0.71
9,9,Neymar,Brazil,79,126,0.63
10,11,Hussein Saeed,Iraq,78,137,0.57
11,12,Romelu Lukaku,Belgium,77,110,0.7
12,13,Kunishige Kamamoto,Japan,75,76,0.99
13,13,Bashar Abdullah,Kuwait,75,134,0.56
14,15,Majed Abdullah,Saudi Arabia,72,117,0.62
15,16,Kinnah Phiri,Malawi,71,117,0.61
16,16,Kiatisuk Senamuang,Thailand,71,134,0.53
17,16,Miroslav Klose,Germany,71,137,0.52
18,19,Abdul Kadir,Indonesia,70,111,0.63
19,19,Stern John,Trinidad and Tobago,70,115,0.61
20,21,Carlos Ruiz,Guatemala,68,133,0.51
21,21,Luis Suárez,Uruguay,68,137,0.5
22,21,Robbie Keane,Republic of Ireland,68,146,0.47
23,21,Hossam Hassan,Egypt,68,176,0.39
24,25,Didier Drogba,Ivory Coast,65,105,0.62
25,25,Edin Džeko,Bosnia and Herzegovina,65,131,0.5
26,27,Zlatan Ibrahimović,Sweden,62,122,0.51
27,28,Harry Kane,England,59,86,0.69
28,28,David Villa,Spain,59,98,0.6
29,30,Ali Ashfaq,Maldives,58,98,0.59
30,30,Cha Bum-kun,South Korea,58,136,0.43
31,32,Carlos Pavón,Honduras,57,101,0.56
32,32,Clint Dempsey,United States,57,141,0.4
33,32,Landon Donovan,United States,57,157,0.36
34,34,Samuel Eto'o,Cameroon,56,118,0.47
35,35,Aleksandar Mitrović,Serbia,55,83,0.66
36,35,Jan Koller,Czech Republic,55,91,0.6
37,35,Fandi Ahmad,Singapore,55,101,0.54
38,38,Olivier Giroud,France,54,125,0.43
39,39,Poul Nielsen,Denmark,52,38,1.37
40,39,Jon Dahl Tomasson,Denmark,52,112,0.46
41,39,Phil Younghusband,Philippines,52,108,0.48
42,39,Javier Hernández,Mexico,52,109,0.48
43,42,Lê Công Vinh,Vietnam,51,83,0.61
44,42,Asamoah Gyan,Ghana,51,109,0.47
45,42,Hakan Şükür,Turkey,51,112,0.46
46,42,Alexis Sánchez,Chile,51,156,0.33
47,46,Robin van Persie,Netherlands,50,102,0.49
48,46,Tim Cahill,Australia,50,108,0.46
49,48,Dimitar Berbatov,Bulgaria,48,78,0.62
50,48,Hristo Bonev,Bulgaria,48,96,0.5
51,48,Andriy Shevchenko,Ukraine,48,111,0.43
52,50,Rolando Fonseca,Costa Rica,47,113,0.42
53,51,Ismail Abdullatif,Bahrain,46,131,0.35
54,52,Davor Šuker,Croatia,45,68,0.65
55,53,Peter Byers,Antigua and Barbuda,44,91,0.48
56,53,Toni Polster,Austria,44,95,0.46
57,55,Hani Al-Dhabit,Oman,43,102,0.42
58,55,Luis Tejada,Panama,43,108,0.4
59,57,Mansour Muftah,Qatar,42,81,0.52
60,57,Almoez Ali,Qatar,42,97,0.43
61,57,Alexander Frei,Switzerland,42,84,0.5
62,57,Oleg Blokhin,Soviet Union [c],42,112,0.38
63,57,Michael Mifsud,Malta,42,143,0.29
64,61,Islam Slimani,Algeria,41,93,0.44
65,61,Gareth Bale,Wales,41,111,0.37
66,63,Ali Al-Biski,Libya,40,44,0.91
67,63,Chan Siu Ki,Hong Kong,40,70,0.57
68,63,Enner Valencia,Ecuador,40,81,0.49
69,63,Salomón Rondón,Venezuela,40,98,0.41
70,67,Raúl Díaz Arce,El Salvador,39,66,0.59
71,67,Akwá,Angola,39,78,0.5
72,67,Hao Haidong,China,39,106,0.37
73,70,Paolo Guerrero,Peru,38,111,0.34
74,70,Teemu Pukki,Finland,38,114,0.33
75,70,Goran Pandev,North Macedonia,38,122,0.31
76,70,Andres Oper,Estonia,38,134,0.28
77,74,Rashidi Yekini,Nigeria,37,62,0.6
78,74,Emmanuel Sanon,Haiti,37,65,0.57
79,74,Eldor Shomurodov,Uzbekistan,37,67,0.55
80,74,Ricky Charles,Grenada,37,71,0.52
81,74,Peter Ndlovu,Zimbabwe,37,81,0.46
82,74,Sadio Mané,Senegal,37,98,0.38
83,80,Myo Hlaing Win,Myanmar,36,63,0.57
84,80,Firas Al-Khatib,Syria,36,72,0.5
85,80,Issam Jemâa,Tunisia,36,84,0.43
86,80,Ahmed Faras,Morocco,36,94,0.38
87,80,David Healy,Northern Ireland,36,95,0.38
88,80,Radamel Falcao,Colombia,36,104,0.35
89,86,Gigi Riva,Italy,35,42,0.83
90,86,William Ouma,Kenya,35,66,0.53
91,86,Luton Shelton,Jamaica,35,75,0.47
92,86,Adrian Mutu,Romania,35,77,0.45
93,86,Gheorghe Hagi,Romania,35,124,0.28
94,86,Zlatko Zahovič,Slovenia,35,80,0.44
95,91,Commins Menapi,Solomon Islands,34,36,0.94
96,91,Moumouni Dagano,Burkina Faso,34,83,0.41
97,93,Jørgen Juve,Norway,33,45,0.73
98,93,Ibrahima Kandia Diallo,Guinea,33,56,0.59
99,93,Getaneh Kebede,Ethiopia,33,66,0.5
100,93,Chris Wood,New Zealand,33,70,0.47
101,93,Eran Zahavi,Israel,33,70,0.47
102,98,Roy Krishna,Fiji,32,48,0.67
103,98,Shandel Samuel,Saint Vincent and the Grenadines,32,63,0.51
104,98,Stevan Jovetić,Montenegro,32,70,0.46
105,98,Michalis Konstantinou,Cyprus,32,84,0.38
106,98,Emmanuel Adebayor,Togo,32,87,0.37
107,98,Henrikh Mkhitaryan,Armenia,32,95,0.34
108,98,Hamza Al-Dardour,Jordan,32,108,0.3
109,98,Roque Santa Cruz,Paraguay,32,112,0.29
110,106,Benni McCarthy,South Africa,31,79,0.39
